日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020/01/29,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/30,14,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/01/31,17,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/01,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/02,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/03,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/04,23,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/05,25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/06,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/07,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/08,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/09,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/11,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/12,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/13,33,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/14,41,8,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/02/15,53,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/16,59,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/17,66,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/18,74,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/19,84,10,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/02/20,94,10,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2020/02/21,109,15,3,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020/02/22,135,26,9,0,0,0,0,0,0,0,1,0,0,3,1,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2020/02/23,147,12,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/24,160,13,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020/02/25,171,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020/02/26,189,18,4,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/27,214,25,15,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/28,233,19,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/02/29,242,9,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020/03/01,256,14,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2020/03/02,274,18,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020/03/03,293,19,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020/03/04,329,36,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,8,0,0,2,9,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,0,1,0,0
2020/03/05,361,32,1,0,0,0,0,0,0,0,1,0,2,0,8,3,1,0,0,0,0,0,0,0,8,0,1,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/06,417,56,7,0,0,0,2,0,0,0,0,0,3,2,6,6,0,0,0,0,1,1,0,0,5,0,0,1,13,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020/03/07,461,44,8,0,0,0,0,0,1,0,0,1,0,4,6,1,0,0,0,0,1,0,0,0,7,0,0,1,10,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020/03/08,494,33,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020/03/09,522,28,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,6,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/10,581,59,3,0,0,0,0,0,0,0,0,0,5,1,3,2,3,0,0,0,0,0,0,1,13,1,0,1,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/11,634,53,7,0,0,0,0,0,0,0,0,0,2,2,6,3,0,0,0,0,0,0,0,0,5,5,0,2,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/12,690,56,10,0,0,0,0,0,0,0,0,2,6,2,2,3,3,0,0,0,0,0,0,1,7,0,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/13,724,34,9,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/03/14,787,63,7,0,0,0,0,0,1,0,0,2,7,2,10,0,2,0,0,0,0,1,0,0,7,1,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020/03/15,818,31,4,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/16,835,17,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/03/17,880,45,0,0,0,0,0,0,0,1,0,4,5,0,12,4,2,0,0,0,0,0,0,0,2,0,1,2,4,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
2020/03/18,921,41,2,0,0,0,0,0,0,1,1,0,1,2,9,1,1,0,0,1,0,0,1,0,5,1,0,2,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020/03/19,961,40,3,0,0,0,0,0,0,1,0,0,4,3,7,6,2,0,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
2020/03/20,"1,015",54,1,0,0,0,0,0,0,0,1,1,3,5,11,2,1,0,1,0,0,0,0,0,5,0,0,1,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
2020/03/21,"1,054",39,1,0,0,0,0,0,0,0,0,0,3,1,7,4,2,0,0,0,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2020/03/22,"1,102",48,3,0,0,0,0,0,0,1,0,0,6,2,3,5,0,0,0,0,0,0,2,0,2,0,0,1,6,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0
2020/03/23,"1,141",39,0,2,0,0,0,0,0,1,0,0,1,3,16,0,0,0,0,0,0,0,3,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2020/03/24,"1,213",72,1,0,0,0,0,0,0,5,2,2,7,1,18,6,1,0,0,0,2,1,3,0,3,0,0,2,8,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1
2020/03/25,"1,309",96,4,4,0,0,0,0,0,0,4,1,1,5,41,4,1,0,0,2,0,0,1,0,6,0,0,4,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0
2020/03/26,"1,402",93,1,0,0,1,0,0,0,0,1,0,7,3,46,6,0,0,0,3,0,0,3,0,3,0,1,3,7,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,1
2020/03/27,"1,525",123,1,0,0,0,2,0,0,3,0,0,6,7,40,11,1,0,0,3,0,1,2,0,3,0,0,1,20,3,0,0,0,0,1,0,0,0,0,1,1,4,0,0,2,2,0,0,0
2020/03/28,"1,727",202,3,1,0,0,0,0,0,3,0,4,6,62,64,12,1,0,1,3,0,0,2,1,4,0,0,5,15,3,2,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,2
2020/03/29,"1,900",173,4,0,0,2,0,0,0,0,1,0,5,33,72,9,0,0,0,1,0,2,1,0,3,0,0,7,17,7,0,0,0,0,0,2,0,0,0,0,1,4,0,0,1,1,0,0,0
2020/03/30,"1,993",93,1,1,0,2,1,0,0,4,0,0,1,0,12,3,0,1,2,2,1,0,2,4,3,2,0,9,8,4,0,1,0,0,1,0,0,0,1,0,1,3,0,0,2,0,0,0,1
2020/03/31,"2,234",241,0,0,0,1,1,1,2,4,2,1,15,13,78,14,0,1,2,5,1,0,4,2,8,0,1,13,28,11,0,0,0,0,0,0,0,2,0,5,2,17,1,0,0,1,0,0,0
2020/04/01,"2,502",268,5,0,0,4,1,1,2,18,3,1,4,14,67,19,1,3,2,1,3,1,5,2,5,0,0,7,34,14,4,1,0,0,1,0,0,0,0,0,3,32,1,3,1,0,0,1,0
2020/04/02,"2,781",279,3,1,0,1,2,1,2,2,0,1,14,5,98,25,0,3,1,9,0,0,5,1,7,1,1,12,33,7,4,2,0,0,2,5,0,0,0,3,1,22,0,3,0,1,0,1,0
2020/04/03,"3,138",357,5,2,0,6,1,5,1,10,0,4,17,20,92,31,3,0,8,12,2,1,4,2,12,1,6,18,35,6,2,1,0,0,2,2,1,0,0,7,2,19,2,1,3,1,4,0,2
2020/04/04,"3,507",369,3,0,0,2,1,2,5,5,0,1,25,26,118,21,0,2,8,4,1,1,7,1,19,0,3,10,41,15,3,0,0,0,1,2,1,0,0,1,3,27,1,2,0,1,1,0,5
2020/04/05,"3,866",359,1,0,0,3,0,3,2,5,0,0,25,26,141,27,0,0,11,7,2,1,11,0,7,0,1,9,21,13,1,2,0,0,1,0,4,0,0,1,7,16,2,1,1,0,2,0,0
2020/04/06,"4,110",244,0,0,0,3,0,6,0,7,0,0,14,18,85,6,0,1,2,6,5,2,1,2,11,0,1,8,20,6,1,5,0,0,0,1,1,0,0,2,3,14,0,0,1,1,1,0,6
2020/04/07,"4,478",368,4,1,0,6,0,0,8,6,3,3,17,13,87,18,2,2,10,6,3,0,10,3,21,0,5,12,53,20,2,2,0,0,1,3,3,0,0,0,2,23,3,0,1,2,1,0,12
2020/04/08,"5,005",527,10,0,0,2,0,3,5,0,6,0,34,34,156,66,2,1,11,7,3,5,8,8,20,0,2,10,43,19,2,3,0,0,2,5,1,0,1,2,1,25,0,1,1,6,4,1,5
2020/04/09,"5,583",578,18,2,0,2,0,5,4,5,5,4,35,30,183,26,2,7,6,5,2,2,9,3,21,2,7,10,92,39,4,3,0,1,1,1,0,0,0,1,10,26,1,0,1,0,0,0,3
2020/04/10,"6,227",644,13,3,0,2,2,5,3,9,1,11,53,33,199,55,0,2,20,5,3,7,11,4,14,0,1,9,80,29,3,1,1,1,0,5,1,0,1,2,5,39,0,1,1,1,0,0,6
2020/04/11,"6,947",720,16,5,0,7,2,1,1,12,3,35,37,36,198,76,1,7,12,4,3,0,9,2,10,2,4,7,70,42,2,0,0,4,0,26,1,0,0,2,0,43,1,0,1,0,1,0,8
2020/04/12,"7,454",507,12,0,0,6,0,5,1,6,0,11,40,44,174,31,0,14,9,2,2,1,6,2,2,0,0,12,45,17,2,1,0,1,0,6,4,0,4,0,6,30,0,0,2,0,0,0,9
2020/04/13,"7,757",303,5,0,0,3,0,1,0,1,1,0,15,19,100,15,0,5,8,4,1,7,7,5,9,0,2,12,24,9,3,0,0,1,0,3,1,0,11,7,0,11,0,0,1,1,0,0,7
2020/04/14,"8,237",480,18,0,0,10,1,4,1,6,1,6,22,16,159,20,3,6,10,0,1,1,8,1,10,2,11,5,59,19,3,1,0,2,1,25,1,0,1,2,0,33,2,0,3,2,0,0,4
2020/04/15,"8,786",549,23,0,0,1,0,6,1,3,3,10,61,35,127,40,1,6,9,8,3,2,3,1,12,1,1,5,74,20,6,2,0,3,0,23,3,0,1,1,2,30,0,1,2,5,0,0,10
2020/04/16,"9,362",576,23,0,0,10,0,5,9,4,2,6,51,58,151,56,1,7,6,3,3,6,5,1,14,6,5,10,52,31,1,1,0,1,1,5,1,0,1,1,0,26,0,1,0,4,0,0,8
2020/04/17,"9,922",560,33,0,0,4,0,4,3,8,2,2,26,35,206,33,6,11,14,1,3,2,1,1,10,6,11,10,55,27,2,1,0,1,1,6,1,0,2,0,1,17,1,1,2,0,0,2,7
2020/04/18,"10,511",589,38,0,0,4,0,2,8,4,0,6,37,34,186,44,3,12,13,2,2,0,1,0,17,3,2,7,88,21,4,1,2,0,0,6,0,0,1,3,1,24,0,0,2,0,0,1,9
2020/04/19,"10,887",376,27,0,0,0,0,1,2,4,2,2,37,18,109,30,0,4,5,6,1,5,2,2,10,1,1,9,48,11,2,0,0,1,1,2,0,0,1,1,4,16,1,0,3,0,0,1,5
2020/04/20,"11,232",345,17,0,0,1,0,3,2,4,3,2,12,22,101,17,0,19,3,1,0,0,0,0,5,3,1,8,84,11,2,0,0,0,0,5,0,0,2,1,1,2,0,0,1,1,0,2,6
2020/04/21,11623,391,22,0,0,0,0,0,0,3,2,7,10,21,123,13,2,13,12,5,1,2,5,1,16,2,4,5,54,19,9,2,0,0,0,2,1,2,0,1,0,21,0,0,1,5,0,0,4
2020/04/22,12065,442,22,0,0,0,0,1,1,5,1,3,40,20,123,25,3,14,6,1,1,5,3,4,19,2,12,11,31,17,2,2,0,0,0,3,0,0,0,0,1,21,2,0,1,0,0,0,5
2020/04/23,12500,435,45,0,0,0,0,0,0,2,0,4,32,24,134,39,1,9,17,0,0,3,2,1,12,0,4,7,35,20,1,1,0,0,0,2,0,0,0,0,1,12,9,0,1,0,0,0,2
2020/04/24,12942,442,22,0,0,0,0,1,1,4,0,2,18,18,170,32,3,13,6,1,0,3,0,1,14,2,1,4,31,25,1,2,0,0,2,0,0,0,0,0,0,12,8,0,1,0,0,0,1
2020/04/25,13324,382,39,0,0,1,0,0,2,3,0,0,22,8,119,31,1,12,4,0,1,1,0,3,1,0,1,4,29,15,0,5,0,1,0,2,0,0,0,0,1,14,1,0,0,0,0,0,1
2020/04/26,13544,220,14,0,0,0,0,0,1,1,2,1,19,8,82,16,4,3,9,1,0,0,0,1,1,0,0,4,16,9,0,1,0,5,1,2,0,0,0,0,1,11,0,0,2,0,0,0,3
2020/04/27,13718,174,35,1,0,1,0,0,0,0,0,5,8,7,41,7,0,1,6,0,0,0,0,1,0,0,0,15,30,1,2,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0
2020/04/28,14000,282,38,3,0,2,0,1,1,1,0,0,7,8,113,11,5,9,8,1,1,0,0,3,5,0,1,4,32,7,2,1,0,1,0,5,0,0,0,0,0,4,1,0,0,0,0,0,4
2020/04/29,14223,223,38,0,0,0,0,1,2,1,0,0,15,4,47,25,0,7,1,0,0,0,0,1,4,0,0,4,44,6,2,0,0,0,1,1,0,0,0,0,1,13,3,0,0,0,0,0,0
2020/04/30,14424,201,41,0,0,0,0,0,1,0,0,0,12,9,59,26,0,5,1,0,0,0,0,4,1,0,0,3,28,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
2020/05/01,14690,266,23,0,0,0,0,0,1,2,0,0,5,6,165,15,2,3,3,0,1,0,0,1,3,0,0,4,14,5,3,0,0,0,0,4,2,0,0,0,0,3,1,0,0,0,0,0,0
2020/05/02,14990,300,33,0,0,0,0,0,1,0,0,0,21,6,154,36,0,6,6,0,1,4,1,0,0,0,0,5,17,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
2020/05/03,15193,203,25,0,0,0,0,0,3,0,0,0,12,5,93,23,0,3,4,0,1,0,0,0,2,0,0,2,10,13,1,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0
2020/05/04,15369,176,31,0,0,0,0,1,0,2,0,0,5,5,87,10,0,1,3,0,0,2,0,0,3,0,2,3,13,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0
2020/05/05,15489,120,12,0,0,0,0,0,1,1,0,0,6,1,57,14,1,3,1,0,0,0,0,0,3,0,0,4,7,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/06,15593,104,23,0,0,0,0,0,1,0,0,1,9,2,37,7,0,0,3,0,0,1,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/07,15689,96,14,1,0,0,0,0,0,0,1,0,14,5,23,13,0,1,4,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/08,15777,88,6,0,0,0,0,0,1,0,1,0,11,3,39,7,3,1,0,0,0,1,0,0,0,0,0,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020/05/09,15891,114,11,0,0,0,0,0,0,0,0,0,16,3,36,8,0,3,2,0,0,1,0,0,3,0,0,4,16,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020/05/10,15960,69,9,0,0,0,0,0,0,0,0,0,5,0,22,13,0,0,1,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/11,16005,45,12,0,0,0,0,0,0,0,0,0,2,3,15,7,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/05/12,16085,80,13,0,0,0,0,0,0,0,1,0,1,3,27,15,0,1,3,0,1,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/05/13,16140,55,4,0,0,0,0,0,0,0,0,0,4,2,10,10,0,0,1,0,0,1,0,0,1,0,0,1,12,3,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0
2020/05/14,16240,100,6,0,0,0,0,0,0,0,1,0,4,0,30,32,0,2,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0
2020/05/15,16290,50,10,0,0,0,0,0,0,0,2,0,2,2,9,16,1,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020/05/16,16347,57,7,0,0,0,0,0,0,0,0,0,5,8,14,12,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020/05/17,16373,26,8,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2020/05/18,16404,31,1,0,0,0,0,0,0,0,1,0,3,2,10,8,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020/05/19,16431,27,3,0,0,0,0,0,0,0,1,1,0,0,5,8,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
